unique_id,ds,cutoff,y,Chronos,Moirai,TimesFM-2.5,TabPFN
hotel_133,2023-02-13,2023-02-10,0.5737704918032787,0.68192214,0.67546034,0.6523652,0.6329825520515442
hotel_133,2023-02-14,2023-02-10,0.7213114754098361,0.72014755,0.6721469,0.6954421,0.6430898904800415
hotel_133,2023-02-15,2023-02-10,0.7049180327868853,0.74895936,0.6963451,0.7204546,0.6649705767631531
hotel_133,2023-02-16,2023-02-10,0.6885245901639344,0.77709264,0.6809052,0.7435578,0.6858819723129272
hotel_133,2023-02-17,2023-02-10,0.9836065573770492,0.7743975,0.74041575,0.82015574,0.7668446898460388
hotel_133,2023-02-18,2023-02-10,0.9836065573770492,0.75391,0.71026576,0.86879957,0.8165814280509949
hotel_133,2023-02-19,2023-02-10,0.9672131147540984,0.7007837,0.6922754,0.70819455,0.633112370967865
hotel_133,2023-02-20,2023-02-10,0.4426229508196721,0.6942524,0.6952892,0.7181201,0.6737759709358215
hotel_133,2023-02-21,2023-02-10,0.360655737704918,0.71156406,0.69774073,0.7393688,0.7115110754966736
hotel_133,2023-02-22,2023-02-10,0.3934426229508196,0.724675,0.7077914,0.7411763,0.7154427170753479
hotel_133,2023-02-23,2023-02-10,0.5737704918032787,0.7442717,0.7013416,0.75225246,0.7302313446998596
hotel_133,2023-02-24,2023-02-10,0.7377049180327869,0.7525045,0.7056215,0.83699334,0.8336492776870728
hotel_133,2023-02-25,2023-02-10,0.7704918032786885,0.73935956,0.6778797,0.8635313,0.8870388865470886
hotel_133,2023-02-26,2023-02-10,0.5245901639344263,0.69748896,0.68126494,0.6806652,0.6952446103096008
hotel_133,2023-02-27,2023-02-10,0.8360655737704918,0.7007444,0.7278434,0.67845976,0.7394395470619202
hotel_133,2023-02-28,2023-02-10,0.6721311475409836,0.72355783,0.7206887,0.68361676,0.7517415285110474
hotel_133,2023-03-01,2023-02-10,0.6557377049180327,0.7340138,0.6748273,0.6883477,0.7029777765274048
hotel_133,2023-03-02,2023-02-10,0.6557377049180327,0.7524752,0.7239732,0.71244663,0.6933556199073792
hotel_133,2023-03-03,2023-02-10,0.819672131147541,0.75533783,0.7241725,0.80418134,0.7974610924720764
hotel_133,2023-03-04,2023-02-10,0.9344262295081968,0.7455958,0.74732053,0.83857137,0.8277934789657593
hotel_133,2023-03-05,2023-02-10,0.819672131147541,0.7065313,0.6899655,0.67479545,0.5920436978340149
hotel_133,2023-03-06,2023-02-10,0.819672131147541,0.70194185,0.7242868,0.68040895,0.6340112686157227
hotel_133,2023-03-07,2023-02-10,0.8032786885245902,0.7276159,0.70761335,0.7028762,0.6640920042991638
hotel_133,2023-03-08,2023-02-10,0.8360655737704918,0.7632519,0.6922773,0.72383827,0.6909461617469788
hotel_133,2023-03-09,2023-02-10,0.819672131147541,0.7999422,0.74676776,0.7584053,0.7060570120811462
hotel_133,2023-03-10,2023-02-10,0.8688524590163934,0.8125697,0.71908385,0.8484565,0.7924944162368774
hotel_14,2023-02-11,2023-02-10,0.7830188679245284,0.80760497,0.7439834,0.8244506,0.8267160058021545
hotel_14,2023-02-12,2023-02-10,0.4716981132075472,0.6632602,0.68912977,0.64440215,0.587867796421051
hotel_14,2023-02-13,2023-02-10,0.660377358490566,0.6989396,0.71197504,0.7382425,0.6957110166549683
hotel_14,2023-02-14,2023-02-10,0.8301886792452831,0.8209018,0.78635746,0.8132173,0.8063310384750366
hotel_14,2023-02-15,2023-02-10,0.9245283018867924,0.83027446,0.79078305,0.8344822,0.8263771533966064
hotel_14,2023-02-16,2023-02-10,0.9433962264150944,0.8199363,0.77942646,0.8179066,0.7840168476104736
hotel_14,2023-02-17,2023-02-10,0.9716981132075472,0.8179675,0.762541,0.83713984,0.8107338547706604
hotel_14,2023-02-18,2023-02-10,0.9433962264150944,0.8215543,0.74158514,0.86114943,0.8576010465621948
hotel_14,2023-02-19,2023-02-10,0.8962264150943396,0.6735139,0.69112414,0.6769227,0.6195244193077087
hotel_14,2023-02-20,2023-02-10,0.9339622641509434,0.70037085,0.72308636,0.76591396,0.7183405756950378
hotel_14,2023-02-21,2023-02-10,0.9339622641509434,0.8170469,0.7653649,0.8367219,0.8224273324012756
hotel_14,2023-02-22,2023-02-10,0.9905660377358492,0.8308814,0.7491481,0.8511586,0.8228470087051392
hotel_14,2023-02-23,2023-02-10,0.9056603773584906,0.81973517,0.7906073,0.8312732,0.7824857831001282
hotel_14,2023-02-24,2023-02-10,0.8962264150943396,0.81757784,0.7531778,0.85044837,0.805938184261322
hotel_14,2023-02-25,2023-02-10,0.8773584905660378,0.822057,0.750868,0.86503005,0.8580888509750366
hotel_14,2023-02-26,2023-02-10,0.6886792452830188,0.6764453,0.69607484,0.6762569,0.6056886911392212
hotel_14,2023-02-27,2023-02-10,0.7830188679245284,0.70486003,0.74189687,0.7616879,0.7100001573562622
hotel_14,2023-02-28,2023-02-10,0.7452830188679245,0.81612456,0.753278,0.83352005,0.8352081179618835
hotel_14,2023-03-01,2023-02-10,0.7830188679245284,0.8184853,0.75947636,0.84997857,0.8405503630638123
hotel_14,2023-03-02,2023-02-10,0.660377358490566,0.8082331,0.7446235,0.8289108,0.802011251449585
hotel_14,2023-03-03,2023-02-10,0.8490566037735849,0.8096577,0.7668756,0.8432696,0.8284220099449158
hotel_14,2023-03-04,2023-02-10,0.8584905660377359,0.81254596,0.75673646,0.86152065,0.8620226979255676
hotel_14,2023-03-05,2023-02-10,0.4528301886792453,0.6701678,0.7161422,0.6795621,0.6018551588058472
hotel_14,2023-03-06,2023-02-10,0.6509433962264151,0.708634,0.747793,0.7655586,0.7140260934829712
hotel_14,2023-03-07,2023-02-10,0.7547169811320755,0.82468814,0.76910573,0.836337,0.8360795974731445
hotel_14,2023-03-08,2023-02-10,0.7830188679245284,0.8302564,0.8145945,0.85314715,0.8405361771583557
hotel_14,2023-03-09,2023-02-10,0.7830188679245284,0.82077324,0.7583516,0.8329017,0.7972314953804016
hotel_14,2023-03-10,2023-02-10,0.8867924528301887,0.82547337,0.76347786,0.84785354,0.8204306364059448
hotel_21,2023-02-11,2023-02-10,0.9953703703703703,0.9849024,0.9871677,0.98245466,0.9895702600479126
hotel_21,2023-02-12,2023-02-10,0.9907407407407408,0.9804223,0.9859053,0.9676022,0.9822918176651
hotel_21,2023-02-13,2023-02-10,0.9953703703703703,0.98341507,0.986559,0.9732146,0.9863262176513672
hotel_21,2023-02-14,2023-02-10,0.9953703703703703,0.98846173,0.98694265,0.98632836,0.9926437139511108
hotel_21,2023-02-15,2023-02-10,0.9814814814814816,0.99200255,0.98362315,0.9907782,0.98986554145813
hotel_21,2023-02-16,2023-02-10,0.976851851851852,0.99147046,0.9849478,0.9880142,0.9883236289024352
hotel_21,2023-02-17,2023-02-10,0.9814814814814816,0.98510015,0.9829861,0.9827116,0.9856104850769044
hotel_21,2023-02-18,2023-02-10,0.9814814814814816,0.9760088,0.9842181,0.98083854,0.9881758093833924
hotel_21,2023-02-19,2023-02-10,0.9722222222222222,0.97235096,0.98531055,0.9692431,0.9824371337890624
hotel_21,2023-02-20,2023-02-10,0.9722222222222222,0.97591394,0.9799895,0.97578144,0.9842628836631776
hotel_21,2023-02-21,2023-02-10,0.9953703703703703,0.98206174,0.9848017,0.9868589,0.9906344413757324
hotel_21,2023-02-22,2023-02-10,0.9953703703703703,0.9842828,0.9860524,0.99148893,0.9887183904647828
hotel_21,2023-02-23,2023-02-10,0.9722222222222222,0.9842911,0.9859939,0.9899577,0.9873508810997008
hotel_21,2023-02-24,2023-02-10,1.0,0.979442,0.98412436,0.9837784,0.9848080277442932
hotel_21,2023-02-25,2023-02-10,0.9861111111111112,0.97287387,0.9859514,0.9823494,0.9870203733444214
hotel_21,2023-02-26,2023-02-10,0.9444444444444444,0.97038853,0.9824685,0.972913,0.9807010293006896
hotel_21,2023-02-27,2023-02-10,0.9907407407407408,0.9744701,0.9825105,0.9766181,0.9820355772972108
hotel_21,2023-02-28,2023-02-10,0.9953703703703703,0.98054653,0.98616326,0.98542964,0.9892202019691468
hotel_21,2023-03-01,2023-02-10,0.9907407407407408,0.9833577,0.9826399,0.9887521,0.9864349961280824
hotel_21,2023-03-02,2023-02-10,0.9814814814814816,0.9826162,0.9863242,0.98727995,0.9852075576782228
hotel_21,2023-03-03,2023-02-10,0.9953703703703703,0.97788966,0.98442817,0.9816474,0.9836177825927734
hotel_21,2023-03-04,2023-02-10,0.9861111111111112,0.9728993,0.98599786,0.9812232,0.9863380193710328
hotel_21,2023-03-05,2023-02-10,0.8842592592592593,0.9722718,0.9845652,0.9720314,0.9811713695526124
hotel_21,2023-03-06,2023-02-10,0.9907407407407408,0.97403455,0.9786447,0.97620773,0.9824358224868774
hotel_21,2023-03-07,2023-02-10,1.0,0.97933453,0.9851225,0.9862309,0.9892510771751404
hotel_21,2023-03-08,2023-02-10,0.9953703703703703,0.9835998,0.98512477,0.99092364,0.9868309497833252
hotel_21,2023-03-09,2023-02-10,1.0,0.9845286,0.98663914,0.98895216,0.9863663911819458
hotel_21,2023-03-10,2023-02-10,0.9907407407407408,0.9799471,0.98580176,0.98389065,0.9840523600578308
hotel_35,2023-02-11,2023-02-10,0.5703125,0.5350261,0.5264061,0.53442943,0.5244652032852173
hotel_35,2023-02-12,2023-02-10,0.48828125,0.52869487,0.5033019,0.51981425,0.5187458992004395
hotel_35,2023-02-13,2023-02-10,0.53515625,0.52872646,0.48246694,0.5162895,0.51686692237854
hotel_35,2023-02-14,2023-02-10,0.6015625,0.53187615,0.4929058,0.5150678,0.5216242671012878
hotel_35,2023-02-15,2023-02-10,0.638671875,0.5327976,0.50028807,0.50698686,0.524124264717102
hotel_35,2023-02-16,2023-02-10,0.63671875,0.5298987,0.48322004,0.5019838,0.517946720123291
hotel_35,2023-02-17,2023-02-10,0.693359375,0.5178261,0.4938615,0.50032485,0.513899028301239
hotel_35,2023-02-18,2023-02-10,0.673828125,0.5020056,0.49807346,0.5092486,0.50714111328125
hotel_35,2023-02-19,2023-02-10,0.638671875,0.49487495,0.47812313,0.49526417,0.4864888787269592
hotel_35,2023-02-20,2023-02-10,0.8046875,0.48992223,0.45750344,0.49229294,0.4761705696582794
hotel_35,2023-02-21,2023-02-10,0.84375,0.48405945,0.4534429,0.49460867,0.478499174118042
hotel_35,2023-02-22,2023-02-10,0.83984375,0.47355187,0.46265876,0.49134362,0.4734298586845398
hotel_35,2023-02-23,2023-02-10,0.869140625,0.46674657,0.44824314,0.48815972,0.4543814957141876
hotel_35,2023-02-24,2023-02-10,0.78515625,0.46594918,0.45875144,0.4914764,0.4463692009449005
hotel_35,2023-02-25,2023-02-10,0.712890625,0.4728459,0.43515903,0.49989593,0.4464609026908874
hotel_35,2023-02-26,2023-02-10,0.666015625,0.48204136,0.46303153,0.49039,0.4326577484607696
hotel_35,2023-02-27,2023-02-10,0.716796875,0.48273414,0.45816088,0.4907468,0.4171694815158844
hotel_35,2023-02-28,2023-02-10,0.810546875,0.48113728,0.45720708,0.49404877,0.4283462166786194
hotel_35,2023-03-01,2023-02-10,0.81640625,0.48301807,0.42894626,0.49136886,0.427944004535675
hotel_35,2023-03-02,2023-02-10,0.87109375,0.48748377,0.46779543,0.49013478,0.4189048707485199
hotel_35,2023-03-03,2023-02-10,0.796875,0.48966908,0.41847664,0.49025628,0.4250812530517578
hotel_35,2023-03-04,2023-02-10,0.740234375,0.49106544,0.42898768,0.49734014,0.4359757900238037
hotel_35,2023-03-05,2023-02-10,0.626953125,0.49373507,0.4151258,0.4876512,0.4321309626102447
hotel_35,2023-03-06,2023-02-10,0.64453125,0.48951215,0.3891303,0.48560697,0.432521641254425
hotel_35,2023-03-07,2023-02-10,0.677734375,0.48236066,0.38189086,0.4847919,0.4509371817111969
hotel_35,2023-03-08,2023-02-10,0.720703125,0.47583407,0.43554482,0.4820926,0.4506235420703888
hotel_35,2023-03-09,2023-02-10,0.671875,0.4734131,0.38197854,0.47750053,0.4364668130874634
hotel_35,2023-03-10,2023-02-10,0.595703125,0.4742522,0.41940397,0.47853148,0.437793105840683
hotel_42,2023-02-11,2023-02-10,0.6639676113360324,0.5164273,0.5825454,0.69943756,0.8486458659172058
hotel_42,2023-02-12,2023-02-10,0.4089068825910931,0.46838886,0.4870643,0.3308906,0.281233549118042
hotel_42,2023-02-13,2023-02-10,0.2469635627530364,0.47036996,0.45729327,0.37687376,0.4201919734477997
hotel_42,2023-02-14,2023-02-10,0.5344129554655871,0.521176,0.4598465,0.5315323,0.5564046502113342
hotel_42,2023-02-15,2023-02-10,0.4008097165991903,0.5478713,0.5082617,0.5825448,0.5181497931480408
hotel_42,2023-02-16,2023-02-10,0.3036437246963562,0.5820619,0.5371565,0.5847997,0.5544314980506897
hotel_42,2023-02-17,2023-02-10,0.4170040485829959,0.61728024,0.5987873,0.686188,0.6877709627151489
hotel_42,2023-02-18,2023-02-10,0.7651821862348178,0.62336135,0.6222831,0.8140544,0.8687971830368042
hotel_42,2023-02-19,2023-02-10,0.4534412955465587,0.5421858,0.54151225,0.50890267,0.4881982207298279
hotel_42,2023-02-20,2023-02-10,0.8704453441295547,0.5258374,0.5590278,0.5781856,0.6967334151268005
hotel_42,2023-02-21,2023-02-10,1.008097165991903,0.5799829,0.5218028,0.67748034,0.8223347663879395
hotel_42,2023-02-22,2023-02-10,0.9838056680161944,0.6245192,0.49338827,0.6750722,0.7991828918457031
hotel_42,2023-02-23,2023-02-10,0.6032388663967612,0.6665031,0.56028205,0.68510985,0.7969856262207031
hotel_42,2023-02-24,2023-02-10,0.3076923076923077,0.71010685,0.6174155,0.7947712,0.7753469944000244
hotel_42,2023-02-25,2023-02-10,0.4534412955465587,0.72371703,0.6379516,0.8897075,0.8800462484359741
hotel_42,2023-02-26,2023-02-10,0.4736842105263157,0.6530352,0.58136207,0.5763736,0.425740122795105
hotel_42,2023-02-27,2023-02-10,0.757085020242915,0.6394816,0.54494977,0.6177931,0.5381255149841309
hotel_42,2023-02-28,2023-02-10,0.9271255060728744,0.67675483,0.58714217,0.7264221,0.7191486358642578
hotel_42,2023-03-01,2023-02-10,0.9635627530364372,0.6938853,0.51440597,0.7577287,0.795113742351532
hotel_42,2023-03-02,2023-02-10,0.9271255060728744,0.71722066,0.5634073,0.76396716,0.8382501006126404
hotel_42,2023-03-03,2023-02-10,0.8502024291497976,0.7369591,0.61975026,0.8498808,0.8798004388809204
hotel_42,2023-03-04,2023-02-10,0.931174089068826,0.7337085,0.6121846,0.9174714,0.904486894607544
hotel_42,2023-03-05,2023-02-10,0.631578947368421,0.6512503,0.57098997,0.5804353,0.4749185144901275
hotel_42,2023-03-06,2023-02-10,0.4170040485829959,0.6291759,0.5962162,0.62268966,0.6017593741416931
hotel_42,2023-03-07,2023-02-10,1.0040485829959511,0.6584568,0.60169464,0.72581965,0.8751142621040344
hotel_42,2023-03-08,2023-02-10,1.008097165991903,0.6740885,0.54496324,0.7344003,0.9003245830535889
hotel_42,2023-03-09,2023-02-10,0.6437246963562753,0.69508874,0.5784706,0.7235037,0.9009109139442444
hotel_42,2023-03-10,2023-02-10,0.3360323886639676,0.7242674,0.67013735,0.82211727,0.8952851295471191
hotel_49,2023-02-11,2023-02-10,1.0087336244541485,0.9893545,0.98440146,0.9962628,0.99379962682724
